kategoria_bdot,funkcja_ogolna_budynku,funkcja_szczegolowa_budynku,building,amenity,man_made,leisure,historic,tourism
"pozostałe budynki niemieszkalne, gdzie indziej nie wymienione",pozostałe budynki niemieszkalne,schronisko dla nieletnich,yes,,,,,
budynki biurowe,budynki biurowe,leśniczówka,yes,,,,,
budynki szkół i instytucji badawczych,budynki szkół i instytucji badawczych,hipermarket lub supermarket,retail,,,,,
budynki muzeów i bibliotek,muzea lub biblioteki,straż pożarna,fire_station,,,,,
budynki szpitali i zakładów opieki medycznej,budynki szpitali i zakładów opieki medyczne,hotel,hotel,,,,,
ogólnodostępne obiekty kulturalne,ogólnodostępne budynki kulturalne,warsztat remontowo-naprawczy,yes,,,,,
budynki przeznaczone do sprawowania kultu religijnego i czynności religijnych,budynki kultu religijnego,muzeum,yes,,,,,
budynki hoteli,budynki hoteli,internat,yes,,,,,
budynki muzeów i bibliotek,muzea lub biblioteki,muzeum,yes,,,,,
budynki przeznaczone do sprawowania kultu religijnego i czynności religijnych,budynki kultu religijnego,restauracja,yes,,,,,
budynki muzeów i bibliotek,muzea lub biblioteki,dom kultury,yes,,,,,
budynki gospodarstw rolnych,budynki gospodarstwa rolnego,budynek jednorodzinny,farmhouse,,,,,
ogólnodostępne obiekty kulturalne,ogólnodostępne budynki kulturalne,schronisko dla zwierząt,yes,,,,,
budynki przemysłowe,budynki przemysłowe,apteka,yes,,,,,
budynki biurowe,budynki biurowe,straż graniczna,yes,,,,,
ogólnodostępne obiekty kulturalne,ogólnodostępne budynki kulturalne,Urząd Gminy,government,,,,,
budynki przeznaczone do sprawowania kultu religijnego i czynności religijnych,budynki kultu religijnego,siedziba firmy lub firm,yes,,,,,
budynki biurowe,budynki biurowe,internat,yes,,,,,
budynki szkół i instytucji badawczych,budynki szkół i instytucji badawczych,stacja hydrologiczna,yes,,,,,
"obiekty budowlane wpisane do rejestru zabytków i objęte indywidualną ochroną konserwatorską oraz nieruchome, archeologiczne dobra kultury",budynek zabytkowy,zabytek bez funkcji użytkowej,yes,,,,yes,
budynki szpitali i zakładów opieki medycznej,budynki szpitali i zakładów opieki medyczne,muzeum,yes,,,,,
budynki o trzech i więcej mieszkaniach,budynki o trzech i więcej mieszkaniach,leśniczówka,yes,,,,,
budynki szkół i instytucji badawczych,budynki szkół i instytucji badawczych,produkcyjny,industrial,,,,,
budynki przeznaczone do sprawowania kultu religijnego i czynności religijnych,budynki kultu religijnego,kaplica,chapel,,,,,
budynki hoteli,budynki hoteli,restauracja,yes,,,,,
budynki kultury fizycznej,budynki kultury fizycznej,dom weselny,yes,,,,,
budynki biurowe,budynki biurowe,placówka opiekuńczo-wychowawcza,yes,,,,,
budynki szkół i instytucji badawczych,budynki szkół i instytucji badawczych,"klub, dyskoteka",yes,,,,,
budynki hoteli,budynki hoteli,pensjonat,hotel,,,,,
budynki muzeów i bibliotek,muzea lub biblioteki,pensjonat,yes,,,,,guest_hause
budynki biurowe,budynki biurowe,budynek jednorodzinny,house,,,,,
budynki przemysłowe,budynki przemysłowe,placówka operatora pocztowego,yes,,,,,
budynki gospodarstw rolnych,budynki gospodarstwa rolnego,hotel,hotel,,,,,
budynki gospodarstw rolnych,budynki gospodarstwa rolnego,siedziba firmy lub firm,yes,,,,,
budynki przeznaczone do sprawowania kultu religijnego i czynności religijnych,budynki kultu religijnego,budynek wielorodzinny,apartments,,,,,
ogólnodostępne obiekty kulturalne,ogólnodostępne budynki kulturalne,placówka dyplomatyczna lub konsularna,government,,,,,
budynki biurowe,budynki biurowe,zajazd,yes,,,,,motel
budynki przemysłowe,budynki przemysłowe,garaż,garage,,,,,
ogólnodostępne obiekty kulturalne,ogólnodostępne budynki kulturalne,policja,yes,,,,,
budynki szpitali i zakładów opieki medycznej,budynki szpitali i zakładów opieki medyczne,szkoła podstawowa,school,,,,,
budynki przeznaczone do sprawowania kultu religijnego i czynności religijnych,budynki kultu religijnego,klasztor,monastery,,,,,
budynki muzeów i bibliotek,muzea lub biblioteki,centrum informacyjne,yes,,,,,
budynki gospodarstw rolnych,budynki gospodarstwa rolnego,budynek produkcyjny zwierząt hodowlanych,sty,,,,,
budynki przemysłowe,budynki przemysłowe,kotłownia,service,,,,,
budynki kultury fizycznej,budynki kultury fizycznej,pawilon handlowo-usługowy,retail,,,,,
budynki muzeów i bibliotek,muzea lub biblioteki,pawilon handlowo-usługowy,retail,,,,,
budynki przeznaczone do sprawowania kultu religijnego i czynności religijnych,budynki kultu religijnego,inny budynek kultu religijnego,yes,,,,,
budynki biurowe,budynki biurowe,sąd,office,,,,,
"budynki łączności, dworców i terminali",budynki łączności dworców i terminali,straż pożarna,fire_station,,,,,
budynki biurowe,budynki biurowe,schronisko turystyczne,yes,,,,,alpine_hut
budynki zbiorowego zamieszkania,budynki zbiorowego zamieszkani,rezydencja prezydencka,government,,,,,
budynki przemysłowe,budynki przemysłowe,Urząd Gminy,government,,,,,
budynki szkół i instytucji badawczych,budynki szkół i instytucji badawczych,biblioteka,yes,,,,,
budynki gospodarstw rolnych,budynki gospodarstwa rolnego,budynek gospodarczy,outbuilding,,,,,
budynki szpitali i zakładów opieki medycznej,budynki szpitali i zakładów opieki medyczne,Urząd Gminy,government,,,,,
"budynki zakwaterowania turystycznego, pozostałe",pozostałe budynki zakwaterowania turystycznego,restauracja,yes,,,,,
"pozostałe budynki niemieszkalne, gdzie indziej nie wymienione",pozostałe budynki niemieszkalne,apteka,yes,,,,,
budynki biurowe,budynki biurowe,straż pożarna,fire_station,,,,,
budynki przeznaczone do sprawowania kultu religijnego i czynności religijnych,budynki kultu religijnego,przedszkole,yes,kindergarten,,,,
budynki przeznaczone do sprawowania kultu religijnego i czynności religijnych,budynki kultu religijnego,krematorium,yes,,,,,
budynki kultury fizycznej,budynki kultury fizycznej,centrum konferencyjne,yes,,,,,
budynki przemysłowe,budynki przemysłowe,restauracja,yes,,,,,
budynki szkół i instytucji badawczych,budynki szkół i instytucji badawczych,placówka badawcza,yes,,,,,
budynki handlowo-usługowe,budynki handlowo-usługowe,bank,yes,,,,,
ogólnodostępne obiekty kulturalne,ogólnodostępne budynki kulturalne,apteka,yes,,,,,
budynki handlowo-usługowe,budynki handlowo-usługowe,stacja obsługi pojazdów,garage,vehicle_inspection,,,,
budynki gospodarstw rolnych,budynki gospodarstwa rolnego,obserwatorium lub planetarium,yes,,,,,
"budynki łączności, dworców i terminali",budynki łączności dworców i terminali,placówka operatora pocztowego,yes,,,,,
"budynki zakwaterowania turystycznego, pozostałe",pozostałe budynki zakwaterowania turystycznego,pensjonat,yes,,,,,guest_house
"zbiorniki, silosy i budynki magazynowe","zbiorniki, silosy lub budynki magazynowe",silos,,,silo,,,
"zbiorniki, silosy i budynki magazynowe","zbiorniki, silosy lub budynki magazynowe",dom towarowy lub handlowy,retail,,,,,
budynki zbiorowego zamieszkania,budynki zbiorowego zamieszkani,dom zakonny,yes,,,,,
budynki o trzech i więcej mieszkaniach,budynki o trzech i więcej mieszkaniach,dom letniskowy,bungalow,,,,,
"budynki łączności, dworców i terminali",budynki łączności dworców i terminali,policja,yes,,,,,
budynki muzeów i bibliotek,muzea lub biblioteki,sąd,government,,,,,
budynki szpitali i zakładów opieki medycznej,budynki szpitali i zakładów opieki medyczne,bank,yes,,,,,
"zbiorniki, silosy i budynki magazynowe","zbiorniki, silosy lub budynki magazynowe",magazyn,warehouse,,,,,
ogólnodostępne obiekty kulturalne,ogólnodostępne budynki kulturalne,kino,yes,,,,,
budynki szpitali i zakładów opieki medycznej,budynki szpitali i zakładów opieki medyczne,Urząd Marszałkowski,government,,,,,
